Name,Age,Gender,Class/Dept,Joined,Occupation,Survived,Nationality
"ABBOTT, Mr Ernest Owen",21,Male,Victualling,Southampton,Lounge Pantry Steward,0,English
"ABRAMS, Mr William Thomas",34,Male,Engineering,Southampton,Fireman,0,English
"ADAMS, Mr Robert John",26,Male,Engineering,Southampton,Fireman,0,English
"AHIER, Mr Percy Snowden",20,Male,Victualling,Southampton,Saloon Steward,0,Channel Islander
"AKERMAN, Mr Albert Edward",31,Male,Victualling,Southampton,3rd Class Steward,0,English
"AKERMAN, Mr Joseph Francis",37,Male,Victualling,Southampton,Assistant Pantryman Steward,0,English
"ALLARIA, Sig. Battista Antonio",22,Male,Restaurant,Southampton,Assistant Waiter,0,Italian
"ALLEN, Mr Ernest Frederick",24,Male,Engineering,Southampton,Trimmer,1,English
"ALLEN, Mr George",26,Male,Victualling,Southampton,Scullion,0,English
"ALLEN, Mr Henry",30,Male,Engineering,Southampton,Fireman,0,English
"ALLEN, Mr Robert Spencer",35,Male,Victualling,Southampton,Bedroom Steward (1st Class),0,English
"ALLSOP, Mr Alfred Samuel",36,Male,Engineering,Belfast,2nd Electrician,0,English
"ALLSOP, Mr Frank Richard",43,Male,Victualling,Belfast,Saloon Steward,0,English
"ANDERSON, Mr John",42,Male,Deck,Southampton,Able Seaman,1,English
"ANDERSON, Mr Walter Yuill",50,Male,Victualling,Southampton,Bed Room Steward,0,Scottish
"ANDREWS, Mr Charles Edward",19,Male,Victualling,Southampton,Saloon Steward (2nd class),1,English
"ARCHER, Mr Ernest Edward",35,Male,Deck,Southampton,Able Seaman,1,English
"ASHCROFT, Mr Austin Aloysius",26,Male,Victualling,Southampton,Clerk,0,English
"ASHE, Mr Henry Wellesley",41,Male,Victualling,Southampton,Glory hole steward (3rd class),0,Irish
"ASPESLAGH, Mr Georges",26,Male,Restaurant,Southampton,Assistant Plateman,0,Belgian
"AVERY, Mr James Albert",20,Male,Engineering,Southampton,Trimmer,1,English
"AYLING, Mr Edwin George",23,Male,Victualling,Southampton,Assistant Vegetable Cook,0,English
"BACK, Mr Charles Frederick",37,Male,Victualling,Belfast,Assistant Lounge Steward,0,English
"BAGGOTT, Mr Allen Marden",28,Male,Victualling,Southampton,Saloon Steward,1,English
"BAGLEY, Mr Edward Henry",33,Male,Victualling,Southampton,Saloon Steward,0,English
"BAILEY, Mr George",44,Male,Victualling,Belfast,Saloon Steward,0,English
"BAILEY, Mr George Frank",46,Male,Engineering,Southampton,Fireman,0,Welsh
"BAILEY, Mr Henry Joseph",46,Male,Deck,Southampton,Master-at-arms,1,English
"BAINES, Mr Richard",58,Male,Engineering,Southampton,Greaser,0,Irish
"BALL, Mr Percy",18,Male,Victualling,Southampton,Plate Steward,1,English
"BANFI,  Ugo",24,Male,Restaurant,Southampton,Waiter,0,Italian
"BANNON, Mr John Joseph",34,Male,Engineering,Southampton,Greaser,0,English
"BARKER, Mr Albert Vale",19,Male,Victualling,Southampton,Baker,0,English
"BARKER, Mr Ernest Thomas",40,Male,Victualling,Southampton,Saloon Steward (1st class),0,English
"BARKER, Mr Reginald Lomond",42,Male,Victualling,Belfast,"Second Purser, 1st Class",0,English
"BARLOW, Mr Charles Henry",30,Male,Engineering,Southampton,Fireman,0,English
"BARLOW, Mr George",39,Male,Victualling,Southampton,Bed Room Steward,0,English
"BARNES, Mr Charles",29,Male,Engineering,Southampton,Fireman,0,English
"BARNES, Mr Frederick Charles",40,Male,Victualling,Southampton,Assistant baker,0,English
"BARNES, Mr John",39,Male,Engineering,Southampton,Fireman,0,English
"BARRATT, Mr Arthur",16,Male,Victualling,Southampton,Bell Boy,0,English
"BARRETT, Mr Frederick William",29,Male,Engineering,Southampton,Leading Fireman,1,English
"BARRETT, Mr Frederick William",33,Male,Engineering,Southampton,Fireman,0,English
"BARRINGER, Mr Arthur William",34,Male,Victualling,Belfast,Saloon Steward (1st class),0,English
"BARROW, Mr Charles Henry John",35,Male,Victualling,Southampton,Assistant butcher,0,English
"BARROWS, Mr Edward William Peter",32,Male,Victualling,Southampton,Saloon Steward,0,English
"BARTON, Mr Sidney John",26,Male,Victualling,Southampton,3rd Class Steward,0,English
"BASILICO, Sig. Giovanni",27,Male,Restaurant,Southampton,Waiter,0,Italian
"BAXTER, Mr Harry Ross",53,Male,Victualling,Southampton,3rd Class Steward,0,English
"BAXTER, Mr Thomas Ferguson",55,Male,Victualling,Southampton,Linen Steward (1st class),0,Scottish
"BAZZI, Sig. Narciso",33,Male,Restaurant,Southampton,Waiter,0,Swiss
"BEATTIE, Mr Joseph John",40,Male,Engineering,Belfast,Greaser,0,Irish
"BEAUCHAMP, Mr George William",24,Male,Engineering,Southampton,Fireman,1,English
"BEDFORD, Mr William Barnett",31,Male,Victualling,Southampton,Assistant Roast Cook,0,English
"BEEDEM, Mr George Arthur",35,Male,Victualling,Southampton,2nd Class Bedroom Steward,0,English
"BEERE, Mr William",19,Male,Victualling,Southampton,Kitchen Porter,0,English
"BELL, Mr Joseph",51,Male,Engineering,Belfast,Chief Engineer,0,English
"BENDELL, Mr Frank",23,Male,Engineering,Southampton,Fireman,0,English
"BENHAM, Mr Fred John",30,Male,Victualling,Southampton,Saloon Steward (2nd class),0,English
"BENNETT, Mr George Alfred",30,Male,Engineering,Southampton,Fireman,0,English
"BENNETT, Mrs Mabel Kate",33,Female,Victualling,Southampton,Stewardess,1,English
"BENVILLE, Mr Edward",47,Male,Engineering,Southampton,Fireman,0,English
"BERNARDI, Sig. Battista",22,Male,Restaurant,Southampton,Assistant Waiter,0,Italian
"BESSANT, Mr Edward",31,Male,Victualling,Southampton,1st class baggage steward,0,English
"BESSANT, Mr William Edward Lowe",40,Male,Engineering,Southampton,Fireman,0,English
"BEST, Mr Edwin Alfred",40,Male,Victualling,Belfast,Saloon Steward (1st class),0,English
"BEUX, Mr David",25,Male,Restaurant,Southampton,Assistant Waiter,0,Italian
"BEVIS, Mr Joseph Henry",22,Male,Engineering,Southampton,Trimmer,0,English
"BIDDLECOMBE, Mr Reginald Charles",31,Male,Engineering,Southampton,Fireman,0,English
"BIéTRIX, Mr George Baptiste",28,Male,Restaurant,Southampton,Cook,0,French
