Player,FG,FGA,PCT,LG,19-Jan,20-29,30-39,40-49,50,XPT,XPA,G,FPTS,FPTS/G,OWN
Sebastian Janikowski,3,3,100,33,0,0,3,0,0,3,3,1,12,12,20.00%
Ka'imi Fairbairn,2,2,100,47,0,0,0,2,0,4,4,1,12,12,91.60%
Aldrick Rosas,3,3,100,51,0,2,0,0,1,1,1,1,12,12,20.20%
Justin Tucker,2,2,100,47,0,1,0,1,0,4,4,1,11,11,98.60%
Jake Elliott,3,3,100,43,0,1,0,2,0,0,0,1,11,11,42.30%
Chris Boswell,1,2,50,41,0,0,0,1,0,2,2,1,10.1,10.1,5.60%
Adam Vinatieri,2,3,66.7,46,0,0,1,1,0,3,3,1,10,10,74.20%
Cairo Santos,2,2,100,41,0,0,1,1,0,3,3,1,10,10,0.60%
Graham Gano,2,3,66.7,26,0,2,0,0,0,3,3,1,9,9,11.40%
Stephen Gostkowski,2,2,100,34,0,0,2,0,0,3,3,1,9,9,97.00%
Jason Myers,2,2,100,55,0,0,1,0,1,1,1,1,9,9,32.10%
Michael Badgley,1,1,100,31,0,0,1,0,0,6,6,1,9,9,63.20%
Brett Maher,1,1,100,28,0,1,0,0,0,4,4,1,7,7,57.00%
Brandon McManus,1,1,100,41,0,0,0,1,0,3,3,1,7,7,3.40%
Wil Lutz,1,1,100,22,0,1,0,0,0,4,4,1,7,7,95.10%
Steven Hauschka,1,1,100,22,0,1,0,0,0,3,3,1,6,6,1.50%
Dan Bailey,1,3,33.3,37,0,0,1,0,0,3,3,1,6,6,16.00%
Cody Parkey,1,1,100,40,0,0,0,1,0,2,2,1,6,6,0.30%
Daniel Carlson,1,1,100,42,0,0,0,1,0,2,2,1,6,6,1.70%
Jason Sanders,1,1,100,29,0,1,0,0,0,3,3,1,6,6,0.70%
Mason Crosby,1,1,100,38,0,0,1,0,0,2,2,1,5,5,41.20%
Matt Bryant,1,1,100,32,0,0,1,0,0,2,2,1,5,5,1.00%
Ryan Succop,1,1,100,31,0,0,1,0,0,2,2,1,5,5,3.80%
Dustin Hopkins,1,1,100,31,0,0,1,0,0,2,3,1,5,5,1.60%
Greg Joseph,0,0,0,0,0,0,0,0,0,5,5,1,5,5,2.20%
Matt Prater,1,1,100,20,0,1,0,0,0,1,1,1,4,4,30.00%
Phil Dawson,1,2,50,30,0,0,1,0,0,1,1,1,4,4,0.10%
Robbie Gould,1,1,100,23,0,1,0,0,0,0,1,1,3,3,78.50%
Josh Lambo,0,1,0,0,0,0,0,0,0,3,3,1,3,3,2.00%
Randy Bullock,0,1,0,0,0,0,0,0,0,2,3,1,2,2,0.60%
