Player,FG,FGA,PCT,LG,19-Jan,20-29,30-39,40-49,50,XPT,XPA,G,FPTS,FPTS/G,OWN
Adam Vinatieri (IND),15,18,83.3,54,0,6,5,2,2,29,31,10,80,8,74.20%
Aldrick Rosas (NYG),20,21,95.2,53,0,5,10,3,2,17,17,10,84,8.4,20.20%
Brandon McManus (DEN),14,17,82.4,53,0,2,6,4,2,24,24,10,74,7.4,3.40%
Brett Maher (DAL),21,25,84,55,0,5,6,6,4,18,19,10,95,9.5,57.00%
Cairo Santos (TB),5,6,83.3,39,1,2,2,0,0,10,11,3,25,8.3,0.60%
Caleb Sturgis (FA),9,13,69.2,49,0,4,2,3,0,9,15,6,39,6.5,0.10%
Chandler Catanzaro (NYJ),11,15,73.3,59,0,3,7,0,1,23,27,9,58,6.4,0.70%
Chris Boswell (PIT),8,11,72.7,50,0,3,3,1,1,31,35,10,58,5.8,5.60%
Cody Parkey (FA),16,21,76.2,50,0,4,4,7,1,30,32,10,87,8.7,0.30%
Dan Bailey (MIN),14,17,82.4,52,0,3,7,3,1,16,17,8,63,7.9,16.00%
Daniel Carlson (OAK),7,11,63.6,49,0,1,3,3,0,12,12,6,36,6,1.70%
Dustin Hopkins (WAS),17,20,85,56,0,5,4,5,3,20,20,10,82,8.2,1.60%
Giorgio Tavecchio (ATL),5,5,100,56,0,1,0,2,2,8,8,3,29,9.7,17.30%
Graham Gano (CAR),11,12,91.7,63,0,1,3,4,3,25,28,10,68,6.8,11.40%
Greg Joseph (CLE),11,13,84.6,51,0,4,4,2,1,10,12,8,47,5.9,2.20%
Greg Zuerlein (LAR),16,18,88.9,56,0,5,8,1,2,20,21,6,73,12.2,98.60%
Harrison Butker (KC),17,18,94.4,46,0,6,5,6,0,47,50,11,104,9.5,97.10%
Jake Elliott (PHI),14,18,77.8,56,0,5,7,1,1,21,21,10,66,6.6,42.30%
Jason Myers (SEA),21,23,91.3,56,0,2,8,7,4,19,20,10,97,9.7,32.10%
Jason Sanders (MIA),15,16,93.8,50,0,4,3,7,1,20,21,10,74,7.4,0.70%
Josh Lambo (JAC),17,18,94.4,57,0,4,6,3,4,15,16,10,77,7.7,2.00%
Justin Tucker (BAL),19,21,90.5,56,0,6,5,4,4,22,23,10,91,9.1,98.60%
Ka'imi Fairbairn (HOU),22,27,81.5,54,1,7,7,5,2,23,24,10,98,9.8,91.60%
Mason Crosby (GB),20,26,76.9,53,0,3,7,6,4,23,25,10,97,9.7,41.20%
Matt Bryant (FA),13,13,100,57,0,3,1,5,4,17,18,7,69,9.9,1.00%
Matt McCrane (FA),5,9,55.6,44,0,3,0,2,0,8,8,4,25,6.3,0.00%
Matt Prater (DET),19,22,86.4,54,0,5,10,1,3,21,21,10,85,8.5,30.00%
Michael Badgley (LAC),8,8,100,46,0,3,1,4,0,10,11,4,38,9.5,63.20%
Mike Nugent (FA),6,6,100,52,0,3,0,2,1,4,5,3,26,8.7,0.10%
Phil Dawson (FA),4,6,66.7,43,0,2,1,1,0,14,14,9,27,3,0.10%
Randy Bullock (CIN),9,12,75,51,0,2,3,3,1,31,32,10,63,6.3,0.60%
Robbie Gould (SF),21,22,95.5,53,0,5,8,6,2,19,20,10,92,9.2,78.50%
Ryan Succop (TEN),18,21,85.7,54,0,3,8,4,3,16,16,10,80,8,3.80%
Sam Ficken (GB),1,3,33.3,34,0,0,1,0,0,10,10,2,13,6.5,0.10%
Sebastian Janikowski (FA),12,16,75,56,0,1,3,5,3,30,30,10,77,7.7,20.00%
Stephen Gostkowski (NE),19,22,86.4,52,0,8,5,4,2,31,31,10,96,9.6,97.00%
Steven Hauschka (BUF),15,16,93.8,54,0,1,4,6,4,12,12,10,71,7.1,1.50%
Wil Lutz (NO),21,22,95.5,54,1,3,6,9,2,39,40,10,115,11.5,95.10%
Zane Gonzalez (ARI),2,5,40,39,0,0,2,0,0,3,5,2,9,4.5,0.20%
