Player,FG,FGA,PCT,LG,19-Jan,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,OWN
Wil Lutz (NO),22,23,95.7,54,1,4,6,9,2,43,44,11,122,11.1,95.10%
Ka'imi Fairbairn (HOU),24,29,82.8,54,1,7,7,7,2,27,28,11,110,10,91.60%
Jason Myers (SEA),23,25,92,56,0,2,9,7,5,20,21,11,106,9.6,32.10%
Stephen Gostkowski (NE),21,24,87.5,52,0,8,7,4,2,34,34,11,105,9.5,97.00%
Harrison Butker (KC),17,18,94.4,46,0,6,5,6,0,47,50,11,104,9.5,97.10%
Mason Crosby (GB),21,27,77.8,53,0,3,8,6,4,25,27,11,102,9.3,41.20%
Justin Tucker (BAL),21,23,91.3,56,0,7,5,5,4,26,27,11,102,9.3,98.60%
Brett Maher (DAL),22,26,84.6,55,0,6,6,6,4,22,23,11,102,9.3,57.00%
Aldrick Rosas (NYG),23,24,95.8,53,0,7,10,3,3,18,18,11,96,8.7,20.20%
Robbie Gould (SF),22,23,95.7,53,0,6,8,6,2,19,21,11,95,8.6,78.50%
Cody Parkey (FA),17,22,77.3,50,0,4,4,8,1,32,34,11,93,8.5,0.30%
Adam Vinatieri (IND),17,21,81,54,0,6,6,3,2,32,34,11,90,8.2,74.20%
Matt Prater (DET),20,23,87,54,0,6,10,1,3,22,22,11,89,8.1,30.00%
Sebastian Janikowski (FA),15,19,78.9,56,0,1,6,5,3,33,33,11,89,8.1,20.00%
Dustin Hopkins (WAS),18,21,85.7,56,0,5,5,5,3,22,23,11,87,7.9,1.60%
Ryan Succop (TEN),19,22,86.4,54,0,3,9,4,3,18,18,11,85,7.7,3.80%
Brandon McManus (DEN),15,18,83.3,53,0,2,6,5,2,27,27,11,81,7.4,3.40%
Josh Lambo (JAC),17,19,89.5,57,0,4,6,3,4,18,19,11,80,7.3,2.00%
Jason Sanders (MIA),16,17,94.1,50,0,5,3,7,1,23,24,11,80,7.3,0.70%
Graham Gano (CAR),13,15,86.7,63,0,3,3,4,3,28,31,11,77,7,11.40%
Steven Hauschka (BUF),16,17,94.1,54,0,2,4,6,4,15,15,11,77,7,1.50%
Jake Elliott (PHI),17,21,81,56,0,6,7,3,1,21,21,11,77,7,42.30%
Matt Bryant (FA),14,14,100,57,0,3,2,5,4,19,20,8,74,9.3,1.00%
Greg Zuerlein (LAR),16,18,88.9,56,0,5,8,1,2,20,21,6,73,12.2,98.60%
Dan Bailey (MIN),15,20,75,52,0,3,8,3,1,19,20,9,69,7.7,16.00%
Chris Boswell (PIT),9,13,69.2,50,0,3,3,2,1,33,37,11,68.1,6.2,5.60%
Randy Bullock (CIN),9,13,69.2,51,0,2,3,3,1,33,35,11,65,5.9,0.60%
Chandler Catanzaro (NYJ),11,15,73.3,59,0,3,7,0,1,23,27,9,58,6.4,0.70%
Greg Joseph (CLE),11,13,84.6,51,0,4,4,2,1,15,17,9,52,5.8,2.20%
Michael Badgley (LAC),9,9,100,46,0,3,2,4,0,16,17,5,47,9.4,63.20%
Daniel Carlson (OAK),8,12,66.7,49,0,1,3,4,0,14,14,7,42,6,1.70%
Caleb Sturgis (FA),9,13,69.2,49,0,4,2,3,0,9,15,6,39,6.5,0.10%
Cairo Santos (TB),7,8,87.5,41,1,2,3,1,0,13,14,4,35,8.8,0.60%
Phil Dawson (FA),5,8,62.5,43,0,2,2,1,0,15,15,10,31,3.1,0.10%
Giorgio Tavecchio (ATL),5,5,100,56,0,1,0,2,2,8,8,3,29,9.7,17.30%
Mike Nugent (FA),6,6,100,52,0,3,0,2,1,4,5,3,26,8.7,0.10%
Matt McCrane (FA),5,9,55.6,44,0,3,0,2,0,8,8,4,25,6.3,0.00%
Sam Ficken (GB),1,3,33.3,34,0,0,1,0,0,10,10,2,13,6.5,0.10%
